OverallStatus,Hiretype,Title,Age,Original State,Source,IT,Joining Center,Rank,IsRotationalShift,NoticePeriod,Qualification1,Big four,hike,JoiningBonus,GoodsTransportationTravelEligibility,Stipend,Experienced,IsNoticePeriodReimbursementProvided
Joined,New Employee,1,28.87671233,Tamil Nadu,EMPLOYEE REFERRAL,0,Bangalore,42,FALSE,2,Grad,0,40%,0,0,0,1,1
OfferDeclined,New Employee,0,30.23561644,Karnataka,EMPLOYEE REFERRAL,0,Bangalore,42,FALSE,2,Grad,0,27%,0,0,0,1,1
Joined,New Employee,0,31.54520548,Kerala,EMPLOYEE REFERRAL,1,Kochi,42,FALSE,2,Grad,0,27%,0,0,0,1,0
OfferDeclined,New Employee,0,30.08219178,Kerala,EMPLOYEE REFERRAL,1,Kochi,42,FALSE,2,Grad,0,16%,0,0,0,1,0
Joined,New Employee,0,36.56438356,Karnataka,CONSULTANCY,0,Bangalore,32,FALSE,2,MBA,0,30%,0,0,0,1,0
OfferDeclined,New Employee,0,26.68767123,Karnataka,EMPLOYEE REFERRAL,1,Bangalore,44,FALSE,2,Grad,0,35%,0,0,0,1,0
Joined,New Employee,1,30.30410959,New Delhi,CONSULTANCY,0,Gurgaon,42,FALSE,2,CA,0,33%,0,0,0,1,1
Joined,Re hire,0,33.01369863,Haryana,PORTAL,0,Gurgaon,42,FALSE,2,Post Grad,1,41%,0,0,0,1,1
Joined,New Employee,1,29.7369863,New Delhi,CONSULTANCY,0,Gurgaon,42,FALSE,2,Grad,0,27%,0,0,0,1,1
Joined,New Employee,1,29.91780822,Karnataka,EMPLOYEE REFERRAL,0,Chennai,42,FALSE,2,Grad,0,42%,0,0,0,1,0
OfferDeclined,New Employee,0,35.53424658,Karnataka,EMPLOYEE REFERRAL,0,Bangalore,42,FALSE,2,Grad,0,12%,0,0,0,1,0
OfferDeclined,New Employee,0,26.79452055,West Bengal,PORTAL,0,Bangalore,44,FALSE,2,Grad,0,24%,0,0,0,1,0
Joined,New Employee,0,26.78630137,Karnataka,CONSULTANCY,0,Bangalore,44,FALSE,2,MBA,1,23%,0,0,0,1,0
Joined,New Employee,1,37.02191781,Maharashtra,PORTAL,0,Bangalore,32,FALSE,2,Grad,0,44%,0,0,0,1,1
Joined,New Employee,0,35.96986301,Jammu and Kashmir,CONSULTANCY,0,Bangalore,42,FALSE,2,Grad,0,23%,0,1,0,1,1
Joined,New Employee,0,33.78356164,Maharashtra,CONSULTANCY,0,Bangalore,42,FALSE,2,Post Grad,0,33%,0,0,0,1,1
Joined,New Employee,1,28.51506849,Uttar Pradesh,EMPLOYEE REFERRAL,0,Gurgaon,44,FALSE,2,CA,0,19%,0,0,0,1,0
Joined,New Employee,0,29.86575342,Karnataka,PORTAL,0,Gurgaon,44,FALSE,2,CA,1,26%,0,0,0,1,0
Joined,New Employee,1,27.25205479,Uttar Pradesh,PORTAL,0,Gurgaon,44,FALSE,2,Grad,0,11%,0,0,0,1,0
Joined,New Employee,0,27.49863014,Maharashtra,EMPLOYEE REFERRAL,0,Bangalore,44,FALSE,2,MBA,0,28%,0,0,0,1,0
Joined,New Employee,1,30.24657534,Maharashtra,EMPLOYEE REFERRAL,0,Bangalore,42,FALSE,2,Grad,0,24%,0,0,0,1,0
Joined,New Employee,0,26.37808219,Karnataka,EMPLOYEE REFERRAL,0,Bangalore,44,FALSE,2,MBA,1,27%,0,0,0,1,0
Joined,New Employee,1,33.53972603,New Delhi,CONSULTANCY,0,Gurgaon,42,FALSE,2,Grad,0,31%,0,0,0,1,1
Joined,New Employee,0,31.08219178,Karnataka,EMPLOYEE REFERRAL,0,Bangalore,44,FALSE,2,Grad,0,18%,0,0,0,1,0
OfferDeclined,New Employee,0,31.66849315,West Bengal,PORTAL,0,Bangalore,42,FALSE,2,Grad,1,41%,0,0,0,1,0
Joined,New Employee,0,32.1369863,West Bengal,PORTAL,0,Bangalore,42,FALSE,2,Grad,1,70%,0,0,0,1,0
OfferDeclined,New Employee,1,35.30410959,West Bengal,PORTAL,0,Bangalore,42,FALSE,2,Post Grad,1,59%,0,0,0,1,0
OfferDeclined,New Employee,1,32.66849315,West Bengal,CONSULTANCY,0,Bangalore,42,FALSE,2,Post Grad,0,40%,0,0,0,1,0
Joined,New Employee,1,31.67123288,Karnataka,EMPLOYEE REFERRAL,0,Bangalore,42,FALSE,2,Post Grad,1,28%,0,0,0,1,0
Joined,New Employee,0,27.11232877,Karnataka,EMPLOYEE REFERRAL,0,Bangalore,42,FALSE,2,Post Grad,1,52%,0,0,0,1,0
Joined,New Employee,1,27.57534247,West Bengal,CONSULTANCY,0,Bangalore,42,FALSE,2,Post Grad,1,69%,0,0,0,1,0
Joined,New Employee,0,34.56438356,Karnataka,PORTAL,0,Bangalore,32,FALSE,2,Grad,0,33%,0,0,0,1,1
OfferDeclined,New Employee,1,27.26575342,West Bengal,CONSULTANCY,0,Bangalore,44,FALSE,2,Grad,1,58%,0,0,0,1,0
Joined,New Employee,1,27.21917808,West Bengal,CONSULTANCY,0,Bangalore,44,FALSE,2,MBA,1,56%,0,0,0,1,0
Joined,New Employee,0,40.57260274,Maharashtra,WALK-IN,0,Gurgaon,32,FALSE,2,CA,0,13%,0,0,0,1,0
Joined,New Employee,0,41.1890411,New Delhi,WALK-IN,0,Gurgaon,32,FALSE,2,CA,0,13%,0,0,0,1,0
Joined,New Employee,0,32.73424658,Karnataka,EMPLOYEE REFERRAL,0,Bangalore,42,FALSE,2,Grad,0,23%,0,0,0,1,0
OfferDeclined,New Employee,0,33.8630137,West Bengal,PORTAL,0,Bangalore,42,FALSE,2,MBA,1,50%,0,0,0,1,0
Joined,New Employee,0,36.05205479,West Bengal,CONSULTANCY,0,Bangalore,42,FALSE,2,MBA,1,47%,0,0,0,1,0
Joined,New Employee,0,35.09041096,Haryana,CONSULTANCY,0,Gurgaon,42,FALSE,2,Post Grad,1,31%,0,0,0,1,0
Joined,Transfer,0,30.52876712,England,Others,0,Gurgaon,32,FALSE,2,Grad,1,100%,0,0,0,1,0
Joined,New Employee,0,33.2739726,Haryana,CONSULTANCY,0,Gurgaon,42,FALSE,2,MBA,0,42%,0,0,0,1,0
Joined,New Employee,0,36.18082192,West Bengal,CONSULTANCY,0,Bangalore,32,FALSE,2,MBA,1,37%,0,0,0,1,0
Joined,New Employee,0,21.19452055,Karnataka,CAMPUS,0,Bangalore,4,FALSE,1,Grad,0,100%,0,0,1,1,0
Joined,New Employee,0,20.48493151,Uttar Pradesh,CAMPUS,0,Bangalore,4,FALSE,1,Grad,0,100%,0,0,1,1,0
Joined,New Employee,0,21.69315068,Kerala,CAMPUS,0,Bangalore,4,FALSE,1,Grad,0,100%,0,0,1,1,0
Joined,New Employee,0,21.74520548,Karnataka,CAMPUS,0,Bangalore,4,FALSE,1,Grad,0,100%,0,0,1,1,0
Joined,New Employee,1,24.72328767,Karnataka,CAMPUS,0,Bangalore,4,FALSE,1,MBA,0,100%,0,0,1,1,0
Joined,New Employee,0,21.73150685,Karnataka,CAMPUS,0,Bangalore,4,FALSE,1,Grad,0,100%,0,0,1,1,0
Joined,New Employee,1,22.84931507,Karnataka,CAMPUS,0,Bangalore,4,FALSE,1,MBA,0,100%,0,0,1,1,0
Joined,New Employee,1,21.40273973,Tamil Nadu,CAMPUS,0,Bangalore,4,FALSE,1,Grad,0,100%,0,0,1,1,0
Joined,New Employee,1,22.27945205,Tamil Nadu,CAMPUS,0,Chennai,4,FALSE,1,Post Grad,0,100%,0,0,1,1,0
Joined,New Employee,0,25.19452055,West Bengal,CAMPUS,0,Bangalore,4,FALSE,1,MBA,0,100%,0,0,1,1,0
Joined,Re hire,0,24.53150685,Karnataka,CAMPUS,0,Bangalore,4,FALSE,1,MBA,0,100%,0,0,1,1,0
Joined,New Employee,0,24.46849315,Karnataka,CAMPUS,0,Bangalore,4,FALSE,1,MBA,0,100%,0,0,1,1,0
Joined,New Employee,1,22.85479452,Karnataka,CAMPUS,0,Bangalore,4,FALSE,1,MBA,0,100%,0,0,1,1,0
Joined,New Employee,1,21.22465753,Tamil Nadu,CAMPUS,0,Chennai,4,FALSE,1,Grad,0,100%,0,0,1,1,0
Joined,New Employee,1,23.99178082,Karnataka,CAMPUS,0,Bangalore,4,FALSE,1,MBA,0,100%,0,0,1,1,0
Joined,New Employee,0,23.08219178,West Bengal,CAMPUS,0,Bangalore,4,FALSE,1,MBA,0,100%,0,0,1,1,0
Joined,New Employee,1,23.60547945,Karnataka,CAMPUS,0,Bangalore,4,FALSE,1,MBA,0,100%,0,0,1,1,0
Joined,New Employee,0,23.66027397,Karnataka,CAMPUS,0,Bangalore,4,FALSE,1,MBA,0,100%,0,0,1,1,0
OfferDeclined,Re hire,0,31.35068493,Telangana,EMPLOYEE REFERRAL,0,Bangalore,42,FALSE,2,MBA,1,37%,0,0,0,1,0
OfferDeclined,New Employee,0,30.20547945,Karnataka,PORTAL,1,Bangalore,42,FALSE,2,Grad,0,22%,0,0,0,1,0
Joined,New Employee,0,27.12876712,Karnataka,PORTAL,0,Bangalore,42,FALSE,2,Grad,0,39%,0,0,0,1,0
Joined,New Employee,0,26.92876712,Karnataka,PORTAL,0,Bangalore,44,FALSE,2,Post Grad,0,33%,0,0,0,1,0
Joined,Re hire,1,24.41369863,Karnataka,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,100%,0,0,0,1,0
Joined,New Employee,1,22.07671233,Karnataka,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,100%,0,0,0,1,0
Joined,Re hire,1,21.4109589,Tamil Nadu,CAMPUS,0,Chennai,44,FALSE,2,Grad,0,100%,0,0,0,1,0
Joined,New Employee,0,22.13424658,Karnataka,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,100%,0,0,0,1,0
Joined,Re hire,0,22.88493151,Tamil Nadu,CAMPUS,0,Chennai,44,FALSE,2,Grad,0,100%,0,0,0,1,0
Joined,New Employee,1,22.10684932,Maharashtra,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,100%,0,0,0,1,0
Joined,Re hire,0,21.90410959,Tamil Nadu,CAMPUS,0,Chennai,44,FALSE,2,Grad,0,100%,0,0,0,1,0
Joined,New Employee,0,22.05753425,New Delhi,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,100%,0,0,0,1,0
Joined,New Employee,0,25.26027397,Kerala,CAMPUS,0,Chennai,44,FALSE,2,MBA,0,100%,0,0,0,1,0
Joined,New Employee,1,22.22465753,Kerala,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,100%,0,0,0,1,0
Joined,Re hire,0,22.17808219,Karnataka,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,100%,0,0,0,1,0
Joined,New Employee,0,24.27671233,West Bengal,CAMPUS,0,Bangalore,44,FALSE,2,Post Grad,0,100%,0,0,0,1,0
Joined,New Employee,1,21.89041096,Karnataka,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,100%,0,0,0,1,0
OfferDeclined,New Employee,0,24.12328767,Kerala,CAMPUS,0,Bangalore,44,FALSE,2,Post Grad,0,100%,0,0,0,1,0
Joined,New Employee,1,21.75890411,Rajasthan,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,100%,0,0,0,1,0
Joined,New Employee,1,26.60547945,Kerala,CAMPUS,0,Chennai,44,FALSE,2,Post Grad,0,100%,0,0,0,1,0
Joined,New Employee,0,24.82739726,Tamil Nadu,CAMPUS,0,Chennai,44,FALSE,2,Post Grad,0,100%,0,0,0,1,0
Joined,New Employee,1,23.77808219,Tamil Nadu,CAMPUS,0,Chennai,44,FALSE,2,Post Grad,0,100%,0,0,0,1,0
Joined,New Employee,1,24.87671233,Tamil Nadu,CAMPUS,0,Chennai,44,FALSE,2,Post Grad,0,100%,0,0,0,1,0
Joined,Re hire,1,23.25205479,Orissa,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,100%,0,0,0,1,0
Joined,New Employee,1,24.6630137,Tamil Nadu,CAMPUS,0,Chennai,44,FALSE,2,MBA,0,100%,0,0,0,1,0
Joined,New Employee,1,22.1890411,West Bengal,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,100%,0,0,0,1,0
Joined,New Employee,1,32.66575342,Karnataka,EMPLOYEE REFERRAL,0,Bangalore,44,FALSE,2,Grad,0,29%,0,0,0,1,0
Joined,Re hire,0,22.41917808,Tamil Nadu,CAMPUS,0,Chennai,44,FALSE,2,Grad,0,100%,0,0,0,1,0
Joined,New Employee,1,22.71506849,New Delhi,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,100%,0,0,0,1,0
Joined,New Employee,0,22.9890411,Karnataka,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,100%,0,0,0,1,0
Joined,Re hire,1,21.5260274,Tamil Nadu,CAMPUS,0,Chennai,44,FALSE,2,Grad,0,100%,0,0,0,1,0
Joined,New Employee,1,22.14246575,Karnataka,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,100%,0,0,0,1,0
Joined,Re hire,0,23.28493151,Tamil Nadu,CAMPUS,0,Chennai,44,FALSE,2,Grad,0,100%,0,0,0,1,0
OfferDeclined,New Employee,0,22.47671233,Tamil Nadu,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,100%,0,0,0,1,0
Joined,New Employee,1,22.35890411,Tamil Nadu,CAMPUS,0,Chennai,44,FALSE,2,Grad,0,100%,0,0,0,1,0
OfferDeclined,New Employee,0,33.06027397,Andhra Pradesh,CONSULTANCY,0,Bangalore,42,FALSE,2,MBA,1,37%,0,0,0,1,0
Joined,New Employee,1,28.44931507,Andhra Pradesh,CONSULTANCY,0,Bangalore,42,FALSE,2,MBA,1,48%,0,0,0,1,1
Joined,New Employee,1,23.71232877,Madhya Pradesh,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,100%,0,0,0,1,0
Joined,New Employee,1,25.02191781,Karnataka,CAMPUS,0,Bangalore,44,FALSE,2,Post Grad,0,100%,0,0,0,1,0
Joined,New Employee,1,22,Maharashtra,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,100%,0,0,0,1,0
OfferDeclined,New Employee,1,23.65753425,Karnataka,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,100%,0,0,0,1,0
Joined,New Employee,0,27.36986301,Karnataka,CAMPUS,0,Bangalore,44,FALSE,2,MBA,0,100%,0,0,0,1,0
Joined,New Employee,1,27.46849315,Karnataka,CAMPUS,0,Bangalore,44,FALSE,2,MBA,0,100%,0,0,0,1,0
OfferDeclined,Re hire,0,22.63287671,Karnataka,CAMPUS,1,Bangalore,44,FALSE,2,Grad,0,100%,0,0,0,1,0
Joined,New Employee,1,21.29863014,Andhra Pradesh,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,100%,0,0,0,1,0
Joined,New Employee,0,25.39452055,Karnataka,CAMPUS,0,Bangalore,44,FALSE,2,MBA,0,100%,0,0,0,1,0
Joined,New Employee,0,23.7369863,Orissa,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,100%,0,0,0,1,0
Joined,Re hire,0,23.00547945,Karnataka,CAMPUS,1,Bangalore,44,FALSE,2,Grad,0,100%,0,0,0,1,0
Joined,New Employee,1,23.73150685,Karnataka,CAMPUS,0,Bangalore,44,FALSE,2,Post Grad,0,100%,0,0,0,1,0
Joined,New Employee,1,24.30136986,Assam,CAMPUS,0,Bangalore,44,FALSE,2,Post Grad,0,100%,0,0,0,1,0
Joined,New Employee,1,23.9369863,Karnataka,CAMPUS,0,Bangalore,44,FALSE,2,MBA,0,100%,0,0,0,1,0
Joined,Re hire,0,24.5369863,Jharkhand,CAMPUS,1,Bangalore,44,FALSE,2,Grad,0,100%,0,0,0,1,0
Joined,New Employee,1,23.81369863,Kerala,CAMPUS,0,Bangalore,44,FALSE,2,Post Grad,0,100%,0,0,0,1,0
Joined,New Employee,1,24.58082192,Karnataka,CAMPUS,0,Bangalore,44,FALSE,2,MBA,0,100%,0,0,0,1,0
OfferDeclined,Re hire,0,22.69315068,Karnataka,CAMPUS,1,Bangalore,44,FALSE,2,Grad,0,100%,0,0,0,1,0
Joined,New Employee,1,23.30684932,West Bengal,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,100%,0,0,0,1,0
Joined,New Employee,1,23.23561644,Jharkhand,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,100%,0,0,0,1,0
Joined,New Employee,1,22.84657534,Assam,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,100%,0,0,0,1,0
Joined,New Employee,1,22.58356164,Tamil Nadu,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,100%,0,0,0,1,0
Joined,New Employee,0,22.05753425,Tamil Nadu,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,100%,0,0,0,1,0
Joined,New Employee,1,22.17260274,Kerala,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,100%,0,0,0,1,0
Joined,New Employee,1,25.31780822,Karnataka,CAMPUS,0,Bangalore,44,FALSE,2,Post Grad,0,100%,0,0,0,1,0
Joined,New Employee,1,24.49589041,Kerala,CAMPUS,0,Bangalore,44,FALSE,2,Post Grad,0,100%,0,0,0,1,0
Joined,New Employee,1,22.05753425,Tamil Nadu,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,100%,0,0,0,1,0
Joined,New Employee,1,24.91506849,Karnataka,CAMPUS,0,Bangalore,44,FALSE,2,MBA,0,100%,0,0,0,1,0
Joined,New Employee,1,26.09315068,Karnataka,CAMPUS,0,Bangalore,44,FALSE,2,MBA,0,100%,0,0,0,1,0
Joined,New Employee,1,23.94794521,Uttarakhand,CAMPUS,0,Bangalore,44,FALSE,2,Post Grad,0,100%,0,0,0,1,0
Joined,New Employee,0,22.49315068,Karnataka,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,100%,0,0,0,1,0
Joined,New Employee,1,22.74520548,Orissa,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,100%,0,0,0,1,0
Joined,New Employee,1,22.64383562,Karnataka,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,100%,0,0,0,1,0
Joined,New Employee,0,24.60547945,Karnataka,CAMPUS,0,Bangalore,44,FALSE,2,Post Grad,0,100%,0,0,0,1,0
Joined,New Employee,0,23.98356164,Karnataka,CAMPUS,0,Bangalore,44,FALSE,2,MBA,0,100%,0,0,0,1,0
OfferDeclined,New Employee,0,32.15068493,Maharashtra,CONSULTANCY,0,Bangalore,42,FALSE,2,Grad,0,24%,0,0,0,1,0
Joined,New Employee,0,26.37260274,Telangana,EMPLOYEE REFERRAL,0,Bangalore,42,FALSE,2,Grad,1,51%,0,0,0,1,0
Joined,New Employee,1,22.45753425,Karnataka,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,0%,0,0,0,0,FALSE
OfferDeclined,New Employee,0,21.87671233,Tamil Nadu,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,100%,0,0,0,1,0
Joined,New Employee,1,23.56986301,Karnataka,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,100%,0,0,0,1,0
