Target,Hiretype,Title,age,Original State,Source,IT,Joining Center,Joining_center_1,Rank,IsRotationalShift,NoticePeriod,Qualification1,Big four,DAndI,hike,JoiningBonus,GoodsTransportationTravelEligibility,Experienced
1,New Employee,1,33.15890411,Karnataka,PORTAL,1,Bangalore,Same,42,FALSE,2,Post Grad,0,0,19%,0,0,1
1,New Employee,0,33.74794521,Haryana,CONSULTANCY,0,Gurgaon,Same,44,FALSE,2,Post Grad,1,0,30%,0,0,1
1,New Employee,0,34.78356164,Haryana,EMPLOYEE REFERRAL,0,Gurgaon,Same,42,FALSE,2,Grad,0,0,32%,0,0,1
1,New Employee,0,30.12054795,Karnataka,CONSULTANCY,0,Gurgaon,Not_same,42,FALSE,2,Grad,1,0,26%,0,0,1
1,New Employee,0,28.35068493,Karnataka,CONSULTANCY,0,Bangalore,Same,42,FALSE,2,Grad,0,0,45%,0,0,1
0,New Employee,0,23.86849315,Haryana,CONSULTANCY,0,Bangalore,Not_same,42,FALSE,2,Post Grad,0,0,0%,0,0,0
1,New Employee,0,29.85479452,Karnataka,CONSULTANCY,0,Bangalore,Same,42,FALSE,2,Grad,0,0,27%,0,0,1
1,New Employee,1,28.21369863,Haryana,EMPLOYEE REFERRAL,0,Bangalore,Not_same,42,FALSE,2,Post Grad,0,0,30%,0,0,1
0,New Employee,0,28.38630137,Karnataka,CONSULTANCY,0,Bangalore,Same,42,FALSE,2,Post Grad,0,0,27%,0,0,1
1,New Employee,0,32.08767123,Karnataka,CONSULTANCY,0,Bangalore,Same,42,FALSE,2,Post Grad,1,0,34%,0,0,1
1,New Employee,1,28.52876712,Karnataka,PORTAL,1,Bangalore,Same,44,FALSE,2,Grad,0,0,39%,0,0,1
1,New Employee,1,33.74520548,Kerala,PORTAL,1,Kochi,Same,42,FALSE,2,Post Grad,0,0,25%,0,0,1
1,New Employee,1,26.64383562,Maharashtra,EMPLOYEE REFERRAL,1,Bangalore,Not_same,44,FALSE,2,Grad,0,0,36%,0,0,1
0,New Employee,1,28.82739726,Karnataka,PORTAL,1,Bangalore,Same,44,FALSE,2,Grad,0,0,38%,0,0,1
0,New Employee,1,27.42739726,Karnataka,CONSULTANCY,1,Bangalore,Same,42,FALSE,2,Grad,0,0,21%,0,0,1
0,New Employee,1,30.9890411,Karnataka,PORTAL,1,Bangalore,Same,42,FALSE,2,Grad,0,0,13%,0,0,1
0,New Employee,1,30.66027397,Karnataka,PORTAL,1,Bangalore,Same,42,FALSE,2,Grad,0,0,18%,0,0,1
0,New Employee,0,27.43561644,Karnataka,PORTAL,1,Bangalore,Same,42,FALSE,2,Grad,0,0,15%,0,0,1
0,New Employee,0,30.11780822,Karnataka,PORTAL,1,Bangalore,Same,42,FALSE,2,Grad,0,0,41%,0,0,1
0,New Employee,1,32.46027397,Karnataka,CONSULTANCY,0,Bangalore,Same,42,FALSE,2,Post Grad,0,0,24%,0,0,1
1,New Employee,1,38.33424658,Karnataka,EMPLOYEE REFERRAL,0,Bangalore,Same,42,FALSE,2,Post Grad,0,0,57%,0,0,1
1,New Employee,1,27.24383562,Karnataka,EMPLOYEE REFERRAL,1,Bangalore,Same,44,FALSE,2,Grad,0,0,23%,0,0,1
0,New Employee,1,30.10410959,Karnataka,EMPLOYEE REFERRAL,1,Bangalore,Same,42,FALSE,2,Grad,0,0,21%,0,0,1
0,New Employee,0,26.60821918,Karnataka,EMPLOYEE REFERRAL,1,Bangalore,Same,44,FALSE,2,Grad,0,0,20%,0,0,1
0,New Employee,1,30.34794521,Karnataka,PORTAL,1,Bangalore,Same,42,FALSE,2,Grad,0,0,32%,0,0,1
0,New Employee,0,27.33424658,Karnataka,PORTAL,1,Bangalore,Same,44,FALSE,2,Grad,0,0,6%,0,0,1
0,New Employee,0,28.56164384,Karnataka,PORTAL,1,Bangalore,Same,44,FALSE,2,Post Grad,0,0,31%,0,0,1
1,New Employee,1,28.9260274,Karnataka,PORTAL,1,Bangalore,Same,42,FALSE,2,Grad,0,0,31%,0,0,1
0,New Employee,1,33.78356164,Telangana,CONSULTANCY,0,Bangalore,Not_same,42,FALSE,2,Post Grad,1,0,36%,0,0,1
1,New Employee,0,32.34520548,Karnataka,EMPLOYEE REFERRAL,0,Bangalore,Same,42,FALSE,2,Grad,1,0,29%,0,0,1
0,New Employee,1,37.17808219,Karnataka,PORTAL,1,Bangalore,Same,42,FALSE,2,Post Grad,0,0,7%,0,0,1
1,Transfer,1,27.92054795,Tamil Nadu,GDS LEAP,0,Bangalore,Not_same,44,FALSE,2,Grad,1,0,5%,0,1,1
1,New Employee,1,33.94520548,Haryana,CONSULTANCY,0,Gurgaon,Same,42,FALSE,2,Post Grad,1,0,38%,0,0,1
0,New Employee,1,30.83561644,New Delhi,CONSULTANCY,0,Gurgaon,Same,42,FALSE,2,Post Grad,1,0,30%,0,0,1
0,New Employee,1,28.54246575,New Delhi,CONSULTANCY,0,Gurgaon,Same,42,FALSE,2,Post Grad,0,0,29%,0,0,1
1,New Employee,0,28.71780822,Karnataka,CONSULTANCY,0,Bangalore,Same,44,FALSE,2,Grad,0,0,45%,0,0,1
0,New Employee,1,31.41917808,Telangana,CONSULTANCY,0,Bangalore,Not_same,44,FALSE,2,Post Grad,0,0,32%,0,0,1
1,New Employee,0,32.08767123,Karnataka,CONSULTANCY,0,Bangalore,Same,44,FALSE,2,Grad,0,0,32%,0,0,1
1,New Employee,0,28.91232877,Tamil Nadu,EMPLOYEE REFERRAL,0,Bangalore,Not_same,42,FALSE,2,Grad,0,0,40%,0,0,1
0,New Employee,1,30.27123288,Karnataka,EMPLOYEE REFERRAL,0,Bangalore,Same,42,FALSE,2,Grad,0,0,27%,0,0,1
1,New Employee,1,31.58082192,Kerala,EMPLOYEE REFERRAL,1,Kochi,Same,42,FALSE,2,Grad,0,0,27%,0,0,1
0,New Employee,1,30.11780822,Kerala,EMPLOYEE REFERRAL,1,Kochi,Same,42,FALSE,2,Grad,0,0,16%,0,0,1
1,New Employee,1,36.6,Karnataka,CONSULTANCY,0,Bangalore,Same,32,FALSE,2,Post Grad,0,0,30%,0,0,1
0,New Employee,1,26.72328767,Karnataka,EMPLOYEE REFERRAL,1,Bangalore,Same,44,FALSE,2,Grad,0,0,35%,0,0,1
1,New Employee,0,30.33972603,New Delhi,CONSULTANCY,0,Gurgaon,Same,42,FALSE,2,CA,0,0,33%,0,0,1
1,Re hire,1,33.04931507,Haryana,PORTAL,0,Gurgaon,Same,42,FALSE,2,Post Grad,1,0,41%,0,0,1
1,New Employee,0,29.77260274,New Delhi,CONSULTANCY,0,Gurgaon,Same,42,FALSE,2,Grad,0,0,27%,0,0,1
1,New Employee,0,29.95342466,Karnataka,EMPLOYEE REFERRAL,0,Chennai,Not_same,42,FALSE,2,Grad,0,0,42%,0,0,1
0,New Employee,1,35.56986301,Karnataka,EMPLOYEE REFERRAL,0,Bangalore,Same,42,FALSE,2,Grad,0,0,12%,0,0,1
0,New Employee,1,26.83013699,West Bengal,PORTAL,0,Bangalore,Not_same,44,FALSE,2,Grad,0,0,24%,0,0,1
1,New Employee,1,26.82191781,Karnataka,CONSULTANCY,0,Bangalore,Same,44,FALSE,2,Post Grad,1,0,23%,0,0,1
1,New Employee,0,37.05753425,Maharashtra,PORTAL,0,Bangalore,Not_same,32,FALSE,2,Grad,0,0,44%,0,0,1
1,New Employee,1,36.00547945,Jammu and Kashmir,CONSULTANCY,0,Bangalore,Not_same,42,FALSE,2,Grad,0,0,23%,0,1,1
1,New Employee,1,33.81917808,Maharashtra,CONSULTANCY,0,Bangalore,Not_same,42,FALSE,2,Post Grad,0,0,33%,0,0,1
1,New Employee,0,28.55068493,Uttar Pradesh,EMPLOYEE REFERRAL,0,Gurgaon,Not_same,44,FALSE,2,CA,0,0,19%,0,0,1
1,New Employee,1,29.90136986,Karnataka,PORTAL,0,Gurgaon,Not_same,44,FALSE,2,CA,1,0,26%,0,0,1
1,New Employee,0,27.28767123,Uttar Pradesh,PORTAL,0,Gurgaon,Not_same,44,FALSE,2,Grad,0,0,11%,0,0,1
1,New Employee,1,27.53424658,Maharashtra,EMPLOYEE REFERRAL,0,Bangalore,Not_same,44,FALSE,2,Post Grad,0,0,28%,0,0,1
1,New Employee,0,30.28219178,Maharashtra,EMPLOYEE REFERRAL,0,Bangalore,Not_same,42,FALSE,2,Grad,0,0,24%,0,0,1
1,New Employee,1,26.41369863,Karnataka,EMPLOYEE REFERRAL,0,Bangalore,Same,44,FALSE,2,Post Grad,1,0,27%,0,0,1
1,New Employee,0,33.57534247,New Delhi,CONSULTANCY,0,Gurgaon,Same,42,FALSE,2,Grad,0,0,31%,0,0,1
1,New Employee,1,31.11780822,Karnataka,EMPLOYEE REFERRAL,0,Bangalore,Same,44,FALSE,2,Grad,0,0,18%,0,0,1
0,New Employee,1,31.70410959,West Bengal,PORTAL,0,Bangalore,Not_same,42,FALSE,2,Grad,1,0,41%,0,0,1
1,New Employee,1,32.17260274,West Bengal,PORTAL,0,Bangalore,Not_same,42,FALSE,2,Grad,1,0,70%,0,0,1
0,New Employee,0,35.33972603,West Bengal,PORTAL,0,Bangalore,Not_same,42,FALSE,2,Post Grad,1,0,59%,0,0,1
0,New Employee,0,32.70410959,West Bengal,CONSULTANCY,0,Bangalore,Not_same,42,FALSE,2,Post Grad,0,0,40%,0,0,1
1,New Employee,0,31.70684932,Karnataka,EMPLOYEE REFERRAL,0,Bangalore,Same,42,FALSE,2,Post Grad,1,0,28%,0,0,1
1,New Employee,1,27.14794521,Karnataka,EMPLOYEE REFERRAL,0,Bangalore,Same,42,FALSE,2,Post Grad,1,0,52%,0,0,1
1,New Employee,0,27.6109589,West Bengal,CONSULTANCY,0,Bangalore,Not_same,42,FALSE,2,Post Grad,1,0,69%,0,0,1
1,New Employee,1,34.6,Karnataka,PORTAL,0,Bangalore,Same,32,FALSE,2,Grad,0,0,33%,0,0,1
0,New Employee,0,27.30136986,West Bengal,CONSULTANCY,0,Bangalore,Not_same,44,FALSE,2,Grad,1,0,58%,0,0,1
1,New Employee,0,27.25479452,West Bengal,CONSULTANCY,0,Bangalore,Not_same,44,FALSE,2,Post Grad,1,0,56%,0,0,1
1,New Employee,1,40.60821918,Maharashtra,WALK-IN,0,Gurgaon,Not_same,32,FALSE,2,CA,0,0,13%,0,0,1
1,New Employee,1,41.22465753,New Delhi,WALK-IN,0,Gurgaon,Same,32,FALSE,2,CA,0,0,13%,0,0,1
1,New Employee,1,32.76986301,Karnataka,EMPLOYEE REFERRAL,0,Bangalore,Same,42,FALSE,2,Grad,0,0,23%,0,0,1
0,New Employee,1,33.89863014,West Bengal,PORTAL,0,Bangalore,Not_same,42,FALSE,2,Post Grad,1,0,50%,0,0,1
1,New Employee,1,36.08767123,West Bengal,CONSULTANCY,0,Bangalore,Not_same,42,FALSE,2,Post Grad,1,0,47%,0,0,1
1,New Employee,1,35.1260274,Haryana,CONSULTANCY,0,Gurgaon,Same,42,FALSE,2,Post Grad,1,0,31%,0,0,1
1,Transfer,1,30.56438356,England,TRANSFER,0,Gurgaon,Not_same,32,FALSE,2,Grad,1,0,100%,0,0,1
1,New Employee,1,33.30958904,Haryana,CONSULTANCY,0,Gurgaon,Same,42,FALSE,2,Post Grad,0,0,42%,0,0,1
1,New Employee,1,36.21643836,West Bengal,CONSULTANCY,0,Bangalore,Not_same,32,FALSE,2,Post Grad,1,0,37%,0,0,1
1,New Employee,1,21.23013699,Karnataka,CAMPUS,0,Bangalore,Same,4,FALSE,1,Grad,0,0,100%,0,0,1
1,New Employee,1,20.52054795,Uttar Pradesh,CAMPUS,0,Bangalore,Not_same,4,FALSE,1,Grad,0,0,100%,0,0,1
1,New Employee,1,21.72876712,Kerala,CAMPUS,0,Bangalore,Not_same,4,FALSE,1,Grad,0,0,100%,0,0,1
1,New Employee,1,21.78082192,Karnataka,CAMPUS,0,Bangalore,Same,4,FALSE,1,Grad,0,0,100%,0,0,1
1,New Employee,0,24.75890411,Karnataka,CAMPUS,0,Bangalore,Same,4,FALSE,1,Post Grad,0,0,100%,0,0,1
1,New Employee,1,21.76712329,Karnataka,CAMPUS,0,Bangalore,Same,4,FALSE,1,Grad,0,0,100%,0,0,1
1,New Employee,0,22.88493151,Karnataka,CAMPUS,0,Bangalore,Same,4,FALSE,1,Post Grad,0,0,100%,0,0,1
1,New Employee,0,21.43835616,Tamil Nadu,CAMPUS,0,Bangalore,Not_same,4,FALSE,1,Grad,0,0,100%,0,0,1
1,New Employee,0,22.31506849,Tamil Nadu,CAMPUS,0,Chennai,Same,4,FALSE,1,Post Grad,0,0,100%,0,0,1
1,New Employee,1,25.23013699,West Bengal,CAMPUS,0,Bangalore,Not_same,4,FALSE,1,Post Grad,0,0,100%,0,0,1
1,Re hire,1,24.56712329,Karnataka,CAMPUS,0,Bangalore,Same,4,FALSE,1,Post Grad,0,0,100%,0,0,1
1,New Employee,1,24.50410959,Karnataka,CAMPUS,0,Bangalore,Same,4,FALSE,1,Post Grad,0,0,100%,0,0,1
1,New Employee,0,22.89041096,Karnataka,CAMPUS,0,Bangalore,Same,4,FALSE,1,Post Grad,0,0,100%,0,0,1
1,New Employee,0,21.26027397,Tamil Nadu,CAMPUS,0,Chennai,Same,4,FALSE,1,Grad,0,0,100%,0,0,1
1,New Employee,0,24.02739726,Karnataka,CAMPUS,0,Bangalore,Same,4,FALSE,1,Post Grad,0,0,100%,0,0,1
1,New Employee,1,23.11780822,West Bengal,CAMPUS,0,Bangalore,Not_same,4,FALSE,1,Post Grad,0,0,100%,0,0,1
1,New Employee,0,23.64109589,Karnataka,CAMPUS,0,Bangalore,Same,4,FALSE,1,Post Grad,0,0,100%,0,0,1
1,New Employee,1,23.69589041,Karnataka,CAMPUS,0,Bangalore,Same,4,FALSE,1,Post Grad,0,0,100%,0,0,1
0,Re hire,1,31.38630137,Telangana,EMPLOYEE REFERRAL,0,Bangalore,Not_same,42,FALSE,2,Post Grad,1,0,37%,0,0,1
0,New Employee,1,30.24109589,Karnataka,PORTAL,1,Bangalore,Same,42,FALSE,2,Grad,0,0,22%,0,0,1
1,New Employee,1,27.16438356,Karnataka,PORTAL,0,Bangalore,Same,42,FALSE,2,Grad,0,0,39%,0,0,1
1,New Employee,1,26.96438356,Karnataka,PORTAL,0,Bangalore,Same,44,FALSE,2,Post Grad,0,0,33%,0,0,1
1,Re hire,0,24.44931507,Karnataka,CAMPUS,0,Bangalore,Same,44,FALSE,2,Grad,0,0,100%,0,0,1
1,New Employee,0,22.11232877,Karnataka,CAMPUS,0,Bangalore,Same,44,FALSE,2,Grad,0,0,100%,0,0,1
1,Re hire,0,21.44657534,Tamil Nadu,CAMPUS,0,Chennai,Same,44,FALSE,2,Grad,0,0,100%,0,0,1
1,New Employee,1,22.16986301,Karnataka,CAMPUS,0,Bangalore,Same,44,FALSE,2,Grad,0,0,100%,0,0,1
1,Re hire,1,22.92054795,Tamil Nadu,CAMPUS,0,Chennai,Same,44,FALSE,2,Grad,0,0,100%,0,0,1
1,New Employee,0,22.14246575,Maharashtra,CAMPUS,0,Bangalore,Not_same,44,FALSE,2,Grad,0,0,100%,0,0,1
1,Re hire,1,21.93972603,Tamil Nadu,CAMPUS,0,Chennai,Same,44,FALSE,2,Grad,0,0,100%,0,0,1
1,New Employee,1,22.09315068,New Delhi,CAMPUS,0,Bangalore,Not_same,44,FALSE,2,Grad,0,0,100%,0,0,1
1,New Employee,1,25.29589041,Kerala,CAMPUS,0,Chennai,Not_same,44,FALSE,2,Post Grad,0,0,100%,0,0,1
1,New Employee,0,22.26027397,Kerala,CAMPUS,0,Bangalore,Not_same,44,FALSE,2,Grad,0,0,100%,0,0,1
1,Re hire,1,22.21369863,Karnataka,CAMPUS,0,Bangalore,Same,44,FALSE,2,Grad,0,0,100%,0,0,1
1,New Employee,1,24.31232877,West Bengal,CAMPUS,0,Bangalore,Not_same,44,FALSE,2,Post Grad,0,0,100%,0,0,1
1,New Employee,0,21.9260274,Karnataka,CAMPUS,0,Bangalore,Same,44,FALSE,2,Grad,0,0,100%,0,0,1
0,New Employee,1,24.15890411,Kerala,CAMPUS,0,Bangalore,Not_same,44,FALSE,2,Post Grad,0,0,100%,0,0,1
1,New Employee,0,21.79452055,Rajasthan,CAMPUS,0,Bangalore,Not_same,44,FALSE,2,Grad,0,0,100%,0,0,1
1,New Employee,0,26.64109589,Kerala,CAMPUS,0,Chennai,Not_same,44,FALSE,2,Post Grad,0,0,100%,0,0,1
1,New Employee,1,24.8630137,Tamil Nadu,CAMPUS,0,Chennai,Same,44,FALSE,2,Post Grad,0,0,100%,0,0,1
1,New Employee,0,23.81369863,Tamil Nadu,CAMPUS,0,Chennai,Same,44,FALSE,2,Post Grad,0,0,100%,0,0,1
1,New Employee,0,24.91232877,Tamil Nadu,CAMPUS,0,Chennai,Same,44,FALSE,2,Post Grad,0,0,100%,0,0,1
1,Re hire,0,23.28767123,Orissa,CAMPUS,0,Bangalore,Not_same,44,FALSE,2,Grad,0,0,100%,0,0,1
1,New Employee,0,24.69863014,Tamil Nadu,CAMPUS,0,Chennai,Same,44,FALSE,2,Post Grad,0,0,100%,0,0,1
1,New Employee,0,22.22465753,West Bengal,CAMPUS,0,Bangalore,Not_same,44,FALSE,2,Grad,0,0,100%,0,0,1
1,New Employee,0,32.70136986,Karnataka,EMPLOYEE REFERRAL,0,Bangalore,Same,44,FALSE,2,Grad,0,0,29%,0,0,1
1,Re hire,1,22.45479452,Tamil Nadu,CAMPUS,0,Chennai,Same,44,FALSE,2,Grad,0,0,100%,0,0,1
1,New Employee,0,22.75068493,New Delhi,CAMPUS,0,Bangalore,Not_same,44,FALSE,2,Grad,0,0,100%,0,0,1
1,New Employee,1,23.02465753,Karnataka,CAMPUS,0,Bangalore,Same,44,FALSE,2,Grad,0,0,100%,0,0,1
1,Re hire,0,21.56164384,Tamil Nadu,CAMPUS,0,Chennai,Same,44,FALSE,2,Grad,0,0,100%,0,0,1
1,New Employee,0,22.17808219,Karnataka,CAMPUS,0,Bangalore,Same,44,FALSE,2,Grad,0,0,100%,0,0,1
1,Re hire,1,23.32054795,Tamil Nadu,CAMPUS,0,Chennai,Same,44,FALSE,2,Grad,0,0,100%,0,0,1
0,New Employee,1,22.51232877,Tamil Nadu,CAMPUS,0,Bangalore,Not_same,44,FALSE,2,Grad,0,0,100%,0,0,1
1,New Employee,0,22.39452055,Tamil Nadu,CAMPUS,0,Chennai,Same,44,FALSE,2,Grad,0,0,100%,0,0,1
0,New Employee,1,33.09589041,Andhra Pradesh,CONSULTANCY,0,Bangalore,Not_same,42,FALSE,2,Post Grad,1,0,37%,0,0,1
1,New Employee,0,28.48493151,Andhra Pradesh,CONSULTANCY,0,Bangalore,Not_same,42,FALSE,2,Post Grad,1,0,48%,0,0,1
1,New Employee,0,23.74794521,Madhya Pradesh,CAMPUS,0,Bangalore,Not_same,44,FALSE,2,Grad,0,0,100%,0,0,1
1,New Employee,0,25.05753425,Karnataka,CAMPUS,0,Bangalore,Same,44,FALSE,2,Post Grad,0,0,100%,0,0,1
1,New Employee,0,22.03561644,Maharashtra,CAMPUS,0,Bangalore,Not_same,44,FALSE,2,Grad,0,0,100%,0,0,1
0,New Employee,0,23.69315068,Karnataka,CAMPUS,0,Bangalore,Same,44,FALSE,2,Grad,0,0,100%,0,0,1
1,New Employee,1,27.40547945,Karnataka,CAMPUS,0,Bangalore,Same,44,FALSE,2,Post Grad,0,0,100%,0,0,1
1,New Employee,0,27.50410959,Karnataka,CAMPUS,0,Bangalore,Same,44,FALSE,2,Post Grad,0,0,100%,0,0,1
0,Re hire,1,22.66849315,Karnataka,CAMPUS,1,Bangalore,Same,44,FALSE,2,Grad,0,0,100%,0,0,1
1,New Employee,0,21.33424658,Andhra Pradesh,CAMPUS,0,Bangalore,Not_same,44,FALSE,2,Grad,0,0,100%,0,0,1
1,New Employee,1,25.43013699,Karnataka,CAMPUS,0,Bangalore,Same,44,FALSE,2,Post Grad,0,0,100%,0,0,1
1,New Employee,1,23.77260274,Orissa,CAMPUS,0,Bangalore,Not_same,44,FALSE,2,Grad,0,0,100%,0,0,1
1,Re hire,1,23.04109589,Karnataka,CAMPUS,1,Bangalore,Same,44,FALSE,2,Grad,0,0,100%,0,0,1
1,New Employee,0,23.76712329,Karnataka,CAMPUS,0,Bangalore,Same,44,FALSE,2,Post Grad,0,0,100%,0,0,1
1,New Employee,0,24.3369863,Assam,CAMPUS,0,Bangalore,Not_same,44,FALSE,2,Post Grad,0,0,100%,0,0,1
1,New Employee,0,23.97260274,Karnataka,CAMPUS,0,Bangalore,Same,44,FALSE,2,Post Grad,0,0,100%,0,0,1
1,Re hire,1,24.57260274,Jharkhand,CAMPUS,1,Bangalore,Not_same,44,FALSE,2,Grad,0,0,100%,0,0,1
1,New Employee,0,23.84931507,Kerala,CAMPUS,0,Bangalore,Not_same,44,FALSE,2,Post Grad,0,0,100%,0,0,1
1,New Employee,0,24.61643836,Karnataka,CAMPUS,0,Bangalore,Same,44,FALSE,2,Post Grad,0,0,100%,0,0,1
0,Re hire,1,22.72876712,Karnataka,CAMPUS,1,Bangalore,Same,44,FALSE,2,Grad,0,0,100%,0,0,1
1,New Employee,0,23.34246575,West Bengal,CAMPUS,0,Bangalore,Not_same,44,FALSE,2,Grad,0,0,100%,0,0,1
1,New Employee,0,23.27123288,Jharkhand,CAMPUS,0,Bangalore,Not_same,44,FALSE,2,Grad,0,0,100%,0,0,1
1,New Employee,0,22.88219178,Assam,CAMPUS,0,Bangalore,Not_same,44,FALSE,2,Grad,0,0,100%,0,0,1
1,New Employee,0,22.61917808,Tamil Nadu,CAMPUS,0,Bangalore,Not_same,44,FALSE,2,Grad,0,0,100%,0,0,1
1,New Employee,1,22.09315068,Tamil Nadu,CAMPUS,0,Bangalore,Not_same,44,FALSE,2,Grad,0,0,100%,0,0,1
1,New Employee,0,22.20821918,Kerala,CAMPUS,0,Bangalore,Not_same,44,FALSE,2,Grad,0,0,100%,0,0,1
1,New Employee,0,25.35342466,Karnataka,CAMPUS,0,Bangalore,Same,44,FALSE,2,Post Grad,0,0,100%,0,0,1
1,New Employee,0,24.53150685,Kerala,CAMPUS,0,Bangalore,Not_same,44,FALSE,2,Post Grad,0,0,100%,0,0,1
1,New Employee,0,22.09315068,Tamil Nadu,CAMPUS,0,Bangalore,Not_same,44,FALSE,2,Grad,0,0,100%,0,0,1
1,New Employee,0,24.95068493,Karnataka,CAMPUS,0,Bangalore,Same,44,FALSE,2,Post Grad,0,0,100%,0,0,1
1,New Employee,0,26.12876712,Karnataka,CAMPUS,0,Bangalore,Same,44,FALSE,2,Post Grad,0,0,100%,0,0,1
1,New Employee,0,23.98356164,Uttarakhand,CAMPUS,0,Bangalore,Not_same,44,FALSE,2,Post Grad,0,0,100%,0,0,1
1,New Employee,1,22.52876712,Karnataka,CAMPUS,0,Bangalore,Same,44,FALSE,2,Grad,0,0,100%,0,0,1
1,New Employee,0,22.78082192,Orissa,CAMPUS,0,Bangalore,Not_same,44,FALSE,2,Grad,0,0,100%,0,0,1
1,New Employee,0,22.67945205,Karnataka,CAMPUS,0,Bangalore,Same,44,FALSE,2,Grad,0,0,100%,0,0,1
1,New Employee,1,24.64109589,Karnataka,CAMPUS,0,Bangalore,Same,44,FALSE,2,Post Grad,0,0,100%,0,0,1
1,New Employee,1,24.01917808,Karnataka,CAMPUS,0,Bangalore,Same,44,FALSE,2,Post Grad,0,0,100%,0,0,1
0,New Employee,1,32.18630137,Maharashtra,CONSULTANCY,0,Bangalore,Not_same,42,FALSE,2,Grad,0,0,24%,0,0,1
1,New Employee,1,26.40821918,Telangana,EMPLOYEE REFERRAL,0,Bangalore,Not_same,42,FALSE,2,Grad,1,0,51%,0,0,1
1,New Employee,0,22.49315068,Karnataka,CAMPUS,0,Bangalore,Same,44,FALSE,2,Grad,0,0,0%,0,0,0
0,New Employee,1,21.91232877,Tamil Nadu,CAMPUS,0,Bangalore,Not_same,44,FALSE,2,Grad,0,0,100%,0,0,1
1,New Employee,0,23.60547945,Karnataka,CAMPUS,0,Bangalore,Same,44,FALSE,2,Grad,0,0,100%,0,0,1
1,New Employee,1,24.19178082,Tamil Nadu,CAMPUS,0,Chennai,Same,44,FALSE,2,Grad,0,0,100%,0,0,1
1,New Employee,0,24.00821918,Kerala,CAMPUS,0,Chennai,Not_same,44,FALSE,2,Post Grad,0,0,100%,0,0,1
